办公锁,ban'gong'suo
板弹簧,ban'tan'huang
刨刀,bao'dao
抱箍,bao'gu
闭门器,bi'men'qi
扁嘴钳,bian'zui'qian
玻璃刀,bo'li'dao
剥线钳,bo'xian'qian
布轮,bu'lun
裁缝剪,cai'feng'jian
插齿刀,cha'chi'dao
插销,cha'xiao
车刀,che'dao
成型模,cheng'xing'mo
冲洗阀,chong'xi'fa
冲压模,chong'ya'mo
触点,chu'dian
触片,chu'pian
厨用刀,chu'yong'dao
窗锁,chuang'suo
伺服阀,ci'fu'fa
磁卡锁,ci'ka'suo
打孔钳,da'kong'qian
大力钳,da'li'qian
档圈,dang'quan
刀柄,dao'bing
刀带,dao'dai
刀杆,dao'gan
地弹簧,di'tan'huang
电池钳,dian'chi'qian
电工钳,dian'gong'qian
电焊钳,dian'han'qian
电缆钳,dian'lan'qian
垫圈,dian'quan
吊钩,diao'gou
雕刻刀,diao'ke'dao
顶尖,ding'jian
顶针,ding'zhen
斗齿,dou'chi
断线钳,duan'xian'qian
锻造模,duan'zao'mo
分水器,fen'shui'qi
杆插销,gan'cha'xiao
钢锉,gang'cuo
钢丝钳,gang'si'qian
钢丝刷,gang'si'shua
钢珠,gang'zhu
割炬,ge'ju
挂锁,gua'suo
管夹,guan'jia
光饰机,guang'shi'ji
轨窗帘,gui'chuang'lian
滚刀,gun'dao
滚筒,gun'tong
滚筒刷,gun'tong'shua
滚珠,gun'zhu
海绵轮,hai'mian'lun
海绵刷,hai'mian'shua
焊炬,han'ju
焊条,han'tiao
焊锡丝,han'xi'si
合页,he'ye
胡桃钳,hu'tao'qian
滑轨,hua'gui
滑轮,hua'lun
花洒,hua'sa
划线器,hua'xian'qi
混水阀,hun'shui'fa
家具锁,jia'ju'suo
夹头,jia'tou
家用剪,jia'yong'jian
减压器,jian'ya'qi
尖嘴钳,jian'zui'qian
铰刀,jiao'dao
铰链,jiao'lian
角磨机,jiao'mo'ji
紧线钳,jin'xian'qian
井盖,jing'gai
锯锉,ju'cuo
卡箍,ka'gu
卡簧钳,ka'huang'qian
卡圈,ka'quan
开门器,kai'men'qi
快开阀,kuai'kai'fa
拉刀,la'dao
拉手,la'shou
拉丝模,la'si'mo
烙铁咀,lao'tie'ju
烙铁头,lao'tie'tou
理发剪,li'fa'jian
鲤鱼钳,li'yu'qian
炉头,lu'tou
螺钉,luo'ding
螺母,luo'mu
螺栓,luo'shuan
螺丝,luo'si
美工刀,mei'gong'dao
门夹窗,men'jia'chuang
门碰,men'peng
门锁,men'suo
门吸,men'xi
密封垫,mi'feng'dian
密封条,mi'feng'tiao
密码锁,mi'ma'suo
磨块,mo'kuai
抹泥板,mo'ni'ban
磨片,mo'pian
磨石,mo'shi
磨头,mo'tou
木工锉,mu'gong'cuo
暖气片,nuan'qi'pian
抛光机,pao'guang'ji
抛光刷,pao'guang'shua
喷头,pen'tou
喷嘴,pen'zui
片弹簧,pian'tan'huang
汽车锁,qi'che'suo
铅封钳,qian'feng'qian
切刀,qie'dao
切割片,qie'ge'pian
三角阀,san'jiao'fa
散热器,san're'qi
砂带,sha'dai
砂带机,sha'dai'ji
砂光机,sha'guang'ji
什锦锉,shi'jin'cuo
手轮,shou'lun
手纸架,shou'zhi'jia
水泵钳,shui'beng'qian
水果刀,shui'guo'dao
水龙头,shui'long'tou
水嘴,shui'zui
塑料模,su'liao'mo
索具,suo'ju
台虎钳,tai'hu'qian
镗刀,tang'dao
剃齿刀,ti'chi'dao
铁钉,tie'ding
铁皮剪,tie'pi'jian
拖链,tuo'lian
弯管器,wan'guan'qi
弯嘴钳,wan'zui'qian
铣刀,xi'dao
箱包锁,xiang'bao'suo
橡胶模,xiang'jiao'mo
销铆钉,xiao'mao'ding
卸扣,xie'kou
斜嘴钳,xie'zui'qian
鸭嘴钳,ya'zui'qian
羊眼,yang'yan
页轮,ye'lun
页片,ye'pian
液压阀,ye'ya'fa
液压缸,ye'ya'gang
异形锉,yi'xing'cuo
油锯,you'ju
油漆刷,you'qi'shua
油石,you'shi
圆盘刷,yuan'pan'shua
园艺剪,yuan'yi'jian
圆嘴钳,yuan'zui'qian
指纹锁,zhi'wen'suo
铸造模,zhu'zao'mu
抓钩,zhua'gou
钻头,zuan'tou
