白马公司,bai'ma'gong'si
办公室,ban'gong'shi
保安部,bao'an'bu
保安部值班室,bao'an'bu'zhi'ban'shi
保安部总监,bao'an'bu'zong'jian
饼屋,bing'wu
布草房楼层,bu'cao'fang'lou'ceng
部门经理,bu'men'jing'li
采购部,cai'gou'bu
财务部总监,cai'wu'bu'zong'jian
财务经理,cai'wu'jing'li
餐饮部,can'yin'bu
仓库,cang'ku
车管部,che'guan'bu
车库收银,che'ku'shou'yin
成控,cheng'kong
出纳,chu'na
大酒店,da'jiu'dian
大堂吧,da'tang'ba
大堂公用电话,da'tang'gong'yong'dian'hua
档案管理员,dang'an'guan'li'yuan
倒班房,dao'ban'fang
电话房,dian'hua'fang
电脑房,dian'nao'fang
电梯系统办公室,dian'ti'xi'tong'ban'gong'shi
电信机房,dian'xin'ji'fang
订房部,ding'fang'bu
董事,dong'shi
董事会秘书,dong'shi'hui'mi'shu
董事会议室,dong'shi'hui'yi'shi
董事长兼总裁,dong'shi'zhang'jian'zong'cai
董事长助理,dong'shi'zhang'zhu'li
发电高压房,fa'dian'gao'ya'fang
改建小组,gai'jian'xiao'zu
工程部,gong'cheng'bu
工程仓,gong'cheng'cang
公关主任,gong'guan'zhu'ren
工会干事,gong'hui'gan'shi
工商银行,gong'shang'yin'hang
公用电话,gong'yong'dian'hua
管家部,guan'jia'bu
管家部仓库,guan'jia'bu'cang'ku
管家部文员,guan'jia'bu'wen'yuan
管事部,guan'shi'bu
管事部地哩,guan'shi'bu'di'li
广东发展银行,guang'dong'fa'zhan'yin'hang
锅炉系统办公室,guo'lu'xi'tong'ban'gong'shi
海鲜池,hai'xian'chi
海鲜酒楼,hai'xian'jiu'lou
荷花轩酒吧,he'hua'xuan'jiu'ba
荷花轩咨客台,he'hua'xuan'zi'ke'tai
花店,hua'dian
化妆间,hua'zhuang'jian
会议室,hui'yi'shi
货仓,huo'cang
机管系统办公室,ji'guan'xi'tong'ban'gong'shi
稽核,ji'he
集团财务部,ji'tuan'cai'wu'bu
集团党工团办公室,ji'tuan'dang'gong'tuan'ban'gong'shi
集团人力资源部,ji'tuan'ren'li'zi'yuan'bu
集团总载办公室,ji'tuan'zong'zai'ban'gong'shi
健康中心,jian'kang'zhong'xin
健康中心办公室,jian'kang'zhong'xin'ban'gong'shi
接待处,jie'dai'chu
接待处办公室,jie'dai'chu'ban'gong'shi
接待室,jie'dai'shi
酒吧,jiu'ba
酒店副总经理,jiu'dian'fu'zong'jing'li
酒店会议室,jiu'dian'hui'yi'shi
酒水仓库,jiu'shui'cang'ku
聚燕堂,ju'yan'tang
客户服务部,ke'hu'fu'wu'bu
客户服务部经理,ke'hu'fu'wu'bu'jing'li
客户助理,ke'hu'zhu'li
空调系统办公室,kong'tiao'xi'tong'ban'gong'shi
会计,kuai'ji
剌身档,la'shen'dang
劳资助理,lao'zi'zhu'li
劳资主任,lao'zi'zhu'ren
礼宾部,li'bin'bu
楼服装特卖场,lou'fu'zhuang'te'mai'chang
律師办公室,lv'shi'ban'gong'shi
美发美容,mei'fa'mei'rong
美工组,mei'gong'zu
男宾部,nan'bin'bu
女宾部,nv'bin'bu
派出所,pai'chu'suo
培训室,pei'xun'shi
培训助理,pei'xun'zhu'li
培训主任,pei'xun'zhu'ren
汽车服务,qi'che'fu'wu
汽车美容,qi'che'mei'rong
前台经理,qian'tai'jing'li
前台收银,qian'tai'shou'yin
强电系统办公室,qiang'dian'xi'tong'ban'gong'shi
人力资源部总监,ren'li'zi'yuan'bu'zong'jian
人事主任,ren'shi'zhu'ren
弱电系统办公室,ruo'dian'xi'tong'ban'gong'shi
