安节,an'jie
安贞吉,an'zhen'ji
拔茅茹,ba'mao'ru
白贲,bai'ben
包承,bao'cheng
包荒,bao'huang
包蒙吉,bao'meng'ji
包无鱼,bao'wu'yu
包羞,bao'xiu
包有鱼,bao'you'yu
贲卦,ben'gua
贲其须,ben'qi'xu
贲其趾,ben'qi'zhi
贲如皤如白马翰如匪寇婚媾,ben'ru'po'ru'bai'ma'han'ru'fei'kou'hun'gou
贲如濡如永,ben'ru'ru'ru'yong
贲于丘园束帛戋戋吝,ben'yu'qiu'yuan'shu'bo'jian'jian'lin
比卦,bi'gua
比之匪人,bi'zhi'fei'ren
比之无首,bi'zhi'wu'shou
比之自内,bi'zhi'zi'nei
并受其福,bing'shou'qi'fu
剥牀以辨,bo'chuang'yi'bian
剥牀以肤,bo'chuang'yi'fu
剥牀以足,bo'chuang'yi'zu
剥卦,bo'gua
跛能履,bo'neng'lv
剥之,bo'zhi
不出户庭,bu'chu'hu'ting
不出门庭,bu'chu'men'ting
不富以其邻,bu'fu'yi'qi'lin
不耕获,bu'geng'huo
不鼓缶而歌,bu'gu'fou'er'ge
不恒其德,bu'heng'qi'de
不获其身,bu'huo'qi'shen
不及其君,bu'ji'qi'jun
不家食,bu'jia'shi
不见其妻,bu'jian'qi'qi
不见其人,bu'jian'qi'ren
不节若,bu'jie'ruo
不戒以孚,bu'jie'yi'fu
不可大事,bu'ke'da'shi
不可疾贞,bu'ke'ji'zhen
不可涉大川,bu'ke'she'da'chuan
不克讼,bu'ke'song
不利宾,bu'li'bin
不利东北,bu'li'dong'bei
不利即戎,bu'li'ji'rong
不利君子贞,bu'li'jun'zi'zhen
不利为寇,bu'li'wei'kou
不利有攸往,bu'li'you'you'wang
不明晦,bu'ming'hui
不能遂,bu'neng'sui
不能退,bu'neng'tui
不宁方来,bu'ning'fang'lai
蔀其家,bu'qi'jia
不如其娣之袂良,bu'ru'qi'di'zhi'mei'liang
不如西邻之禴祭,bu'ru'xi'lin'zhi'yue'ji
不丧匕鬯,bu'sang'bi'chang
不事王侯高尚其事,bu'shi'wang'hou'gao'shang'qi'shi
不我能即,bu'wo'neng'ji
不咥人,bu'xi'ren
不遐遗,bu'xia'yi
不宜上宜下,bu'yi'shang'yi'xia
不永所事,bu'yong'suo'shi
不有躬,bu'you'gong
不远复,bu'yuan'fu
不拯其随,bu'zheng'qi'sui
不终日,bu'zhong'ri
不菑畲,bu'zi'she
城复于隍,cheng'fu'yu'huang
乘马班如,cheng'ma'ban'ru
乘其墉,cheng'qi'yong
成有渝,cheng'you'yu
迟归有时,chi'gui'you'shi
迟有悔,chi'you'hui
憧憧往来,chong'chong'wang'lai
畴离祉,chou'li'zhi
畜臣妾吉,chu'chen'qie'ji
初登于天,chu'deng'yu'tian
初吉终乱,chu'ji'zhong'luan
出门交有功,chu'men'jiao'you'gong
畜牝牛,chu'pin'niu
出入无疾,chu'ru'wu'ji
初筮告,chu'shi'gao
出涕沱若,chu'ti'tuo'ruo
出自穴,chu'zi'xue
垂其翼,chui'qi'yi
从或戕之,cong'huo'qiang'zhi
萃卦,cui'gua
萃如嗟如,cui'ru'jie'ru
萃有位,cui'you'wei
大车以载,da'che'yi'zai
大畜卦,da'chu'gua
大过,da'guo
大吉,da'ji
大蹇朋来,da'jian'peng'lai
大君有命,da'jun'you'ming
大君之宜,da'jun'zhi'yi
大人否,da'ren'fou
大人虎变,da'ren'hu'bian
大人吉,da'ren'ji
大师克相遇,da'shi'ke'xiang'yu
大往小来,da'wang'xiao'lai
大有得,da'you'de
大有卦,da'you'gua
大贞凶,da'zhen'xiong
大壮卦,da'zhuang'gua
得臣无家,de'chen'wu'jia
得敌,de'di
得黄金,de'huang'jin
得黄矢,de'huang'shi
得金矢,de'jin'shi
得其大首,de'qi'da'shou
得其资斧,de'qi'zi'fu
得妾以其子,de'qie'yi'qi'zi
得尚于中行,de'shang'yu'zhong'hang
得童仆,de'tong'pu
羝羊触藩,di'yang'chu'fan
帝乙归妹,di'yi'gui'mei
弟子舆尸,di'zi'yu'shi
颠颐,dian'yi
鼎颠趾,ding'dian'zhi
鼎耳革,ding'er'ge
鼎卦,ding'gua
鼎黄耳,ding'huang'er
鼎有实,ding'you'shi
鼎玉铉,ding'yu'xuan
鼎折足,ding'zhe'zu
东北丧朋,dong'bei'sang'peng
东邻杀牛,dong'lin'sha'niu
栋隆,dong'long
栋挠,dong'nao
栋桡,dong'rao
动则观其变而玩其占,dong'ze'guan'qi'bian'er'wan'qi'zhan
独行遇雨,du'xing'yu'yu
渎则不告,du'ze'bu'gao
兑卦,dui'gua
敦复,dun'fu
敦艮,dun'gen
遁卦,dun'gua
敦临,dun'lin
遁尾,dun'wei
二簋可用享,er'gui'ke'yong'xiang
发蒙,fa'meng
反覆其道,fan'fu'qi'dao
反归以娣,fan'gui'yi'di
藩决不羸,fan'jue'bu'lei
方雨亏悔,fang'yu'kui'hui
肥遁,fei'dun
匪孚,fei'fu
匪躬之故,fei'gong'zhi'gu
匪咎,fei'jiu
匪寇婚媾,fei'kou'hun'gou
飞龙在天,fei'long'zai'tian
飞鸟离之,fei'niao'li'zhi
飞鸟遗之音,fei'niao'wei'zhi'yin
飞鸟以凶,fei'niao'yi'xiong
匪其彭,fei'qi'peng
匪我求童蒙,fei'wo'qiu'tong'meng
匪夷所思,fei'yi'suo'si
焚如死如弃如,fen'ru'si'ru'qi'ru
豮豕之牙,fen'shi'zhi'ya
丰卦,feng'gua
丰其蔀,feng'qi'bu
丰其沛,feng'qi'pei
丰其屋,feng'qi'wu
否卦,fou'gua
否臧凶,fou'zang'xiong
否之匪人,fou'zhi'fei'ren
孚兑,fu'dui
覆公餗,fu'gong'su
复卦,fu'gua
弗过防之,fu'guo'fang'zhi
弗过遇之,fu'guo'yu'zhi
孚号有厉,fu'hao'you'li
复既命渝,fu'ji'ming'yu
富家大吉,fu'jia'da'ji
拂经,fu'jing
拂经于丘颐,fu'jing'yu'qiu'yi
弗克攻,fu'ke'gong
弗克违,fu'ke'wei
孚乃利用禴,fu'nai'li'yong'yue
夫妻反目,fu'qi'fan'mu
负且乘,fu'qie'cheng
妇人吉,fu'ren'ji
伏戎于莽,fu'rong'yu'mang
妇丧其茀,fu'sang'qi'fu
弗损益之,fu'sun'yi'zhi
拂颐,fu'yi
富以其邻,fu'yi'qi'lin
孚于剥,fu'yu'bo
弗遇过之,fu'yu'guo'zhi
孚于嘉,fu'yu'jia
妇孕不育,fu'yun'bu'yu
俯则观法于地,fu'ze'guan'fa'yu'di
妇贞厉,fu'zhen'li
夫征不复,fu'zheng'bu'fu
复自道,fu'zi'dao
妇子嘻嘻,fu'zi'xi'xi
夫子凶,fu'zi'xiong
改命,gai'ming
改邑不改井,gai'yi'bu'gai'jing
干父之蛊小有悔无大咎,gan'fu'zhi'gu'xiao'you'hui'wu'da'jiu
干父之蛊用誉,gan'fu'zhi'gu'yong'yu
干父之蛊有子考厉,gan'fu'zhi'gu'you'zi'kao'li
甘节,gan'jie
甘临,gan'lin
干母之蛊不可贞,gan'mu'zhi'gu'bu'ke'zhen
告公从,gao'gong'cong
告公用圭,gao'gong'yong'gui
告自邑,gao'zi'yi
高宗伐鬼方,gao'zong'fa'gui'fang
革卦,ge'gua
革言三就,ge'yan'san'jiu
艮卦,gen'gua
艮其背,gen'qi'bei
艮其腓,gen'qi'fei
艮其辅,gen'qi'fu
艮其身,gen'qi'shen
艮其限,gen'qi'xian
艮其趾,gen'qi'zhi
公弋取彼在穴,gong'yi'qu'bi'zai'xue
公用亨于天子,gong'yong'heng'yu'tian'zi
巩用黄牛之革,gong'yong'huang'niu'zhi'ge
公用射隼于高墉之上,gong'yong'she'sun'yu'gao'yong'zhi'shang
姤卦,gou'gua
姤其角,gou'qi'jiao
蛊卦,gu'gua
古者包羲氏之王天下也,gu'zhe'bao'xi'shi'zhi'wang'tian'xia'ye
盥而不荐,guan'er'bu'jian
观卦,guan'gua
观国之光,guan'guo'zhi'guang
观其生,guan'qi'sheng
观我朵颐,guan'wo'duo'yi
观我生,guan'wo'sheng
观颐,guan'yi
官有渝,guan'you'yu
贯鱼以宫人宠,guan'yu'yi'gong'ren'chong
光亨,guang'heng
归而逋,gui'er'bu
归妹卦,gui'mei'gua
归妹愆期,gui'mei'qian'qi
归妹以娣,gui'mei'yi'di
归妹以须,gui'mei'yi'xu
过其祖,guo'qi'zu
过涉灭顶,guo'she'mie'ding
寒泉食,han'quan'shi
翰音登于天,han'yin'deng'yu'tian
含章,han'zhang
含章可贞,han'zhang'ke'zhen
好遁,hao'dun
和兑,he'dui
何咎,he'jiu
何其咎,he'qi'jiu
何天之衢,he'tian'zhi'qu
何校灭耳,he'xiao'mie'er
曷之用,he'zhi'yong
恒不死,heng'bu'si
恒卦,heng'gua
亨利贞,heng'li'zhen
恒其德,heng'qi'de
鸿渐于干,hong'jian'yu'gan
鸿渐于陵妇,hong'jian'yu'ling'fu
鸿渐于陆,hong'jian'yu'lu
鸿渐于木,hong'jian'yu'mu
鸿渐于磐,hong'jian'yu'pan
后夫凶,hou'fu'xiong
后庚三日,hou'geng'san'ri
后甲三日,hou'jia'san'ri
后入于地,hou'ru'yu'di
后说之弧,hou'shuo'zhi'hu
后笑言哑哑,hou'xiao'yan'ya'ya
虎视眈眈,hu'shi'dan'dan
怀其资,huai'qi'zi
涣奔其机,huan'ben'qi'ji
涣卦,huan'gua
涣汗其大号,huan'han'qi'da'hao
涣其躬,huan'qi'gong
涣其群,huan'qi'qun
涣其血,huan'qi'xue
涣王居,huan'wang'ju
涣有丘,huan'you'qiu
黄离,huang'li
黄裳元吉,huang'shang'yuan'ji
悔厉吉,hui'li'ji
会盟,hui'meng
撝谦,hui'qian
悔亡,hui'wang
婚媾有言,hun'gou'you'yan
或承之羞,huo'cheng'zhi'xiu
或从王事,huo'cong'wang'shi
或得其桷,huo'dei'qi'jue
获匪其丑,huo'fei'qi'chou
或鼓或罢,huo'gu'huo'ba
或击之,huo'ji'zhi
获明夷之心,huo'ming'yi'zhi'xin
或泣或歌,huo'qi'huo'ge
或系之牛,huo'xi'zhi'niu
或锡之鞶带,huo'xi'zhi'pan'dai
或益之十朋之龟,huo'yi'zhi'shi'peng'zhi'gui
或跃在渊,huo'yue'zai'yuan
获之无不利,huo'zhi'wu'bu'li
吉亨,ji'heng
既济卦,ji'ji'gua
即鹿无虞,ji'lu'wu'yu
击蒙,ji'meng
己日乃孚,ji'ri'nai'fu
己日乃革之,ji'ri'nai'ge'zhi
吉无不利,ji'wu'bu'li
藉用白茅,ji'yong'bai'mao
既忧之,ji'you'zhi
系于苞桑,ji'yu'bao'sang
既雨既处,ji'yu'ji'chu
系于金柅,ji'yu'jin'ni
跻于九陵,ji'yu'jiu'ling
齎咨涕洟,ji'zi'ti'ti
箕子之明夷,ji'zi'zhi'ming'yi
嘉遁,jia'dun
家人卦,jia'ren'gua
家人嗃嗃,jia'ren'hu'hu
见恶人,jian'e'ren
见恶人无咎,jian'e'ren'wu'jiu
渐卦,jian'gua
蹇卦,jian'gua
见金夫,jian'jin'fu
见龙在田,jian'long'zai'tian
见豕负涂,jian'shi'fu'tu
见舆曳,jian'yu'ye
艰则吉,jian'ze'ji
艰则无咎,jian'ze'wu'jiu
简则易从,jian'ze'yi'cong
艰贞,jian'zhen
交孚,jiao'fu
解而拇,jie'er'mu
节卦,jie'gua
解卦,jie'gua
介疾有喜,jie'ji'you'xi
介于石,jie'yu'shi
晋卦,jin'gua
晋其角,jin'qi'jiao
近取诸身,jin'qu'zhu'shen
晋如愁如,jin'ru'chou'ru
晋如摧如,jin'ru'cui'ru
晋如鼫鼠,jin'ru'shi'shu
进退,jin'tui
金铉,jin'xuan
井谷射鲋,jing'gu'she'fu
井卦,jing'gua
井洌,jing'lie
井泥不食,jing'ni'bu'shi
井收勿幕,jing'shou'wu'mu
井渫不食,jing'xie'bu'shi
敬之,jing'zhi
井甃,jing'zhou
旧井无禽,jiu'jing'wu'qin
居吉,ju'ji
拘系之,ju'xi'zhi
屦校灭趾,ju'xiao'mie'zhi
据于蒺藜,ju'yu'ji'li
居贞吉,ju'zhen'ji
厥孚交如,jue'fu'jiao'ru
夬卦,jue'gua
夬履,jue'lv
厥宗噬肤,jue'zong'shi'fu
浚恒,jun'heng
君子豹变,jun'zi'bao'bian
君子得舆,jun'zi'de'yu
君子吉,jun'zi'ji
君子几不如舍,jun'zi'ji'bu'ru'she
君子居则观其象而玩其辞,jun'zi'ju'ze'guan'qi'xiang'er'wan'qi'ci
君子夬夬,jun'zi'jue'jue
君子吝,jun'zi'lin
君子所居而安者易之序也,jun'zi'suo'ju'er'an'zhe'yi'zhi'xu'ye
君子维有解,jun'zi'wei'you'jie
君子用罔,jun'zi'yong'wang
君子有攸往,jun'zi'you'you'wang
君子有终,jun'zi'you'zhong
君子于行,jun'zi'yu'xing
君子贞,jun'zi'zhen
君子征凶,jun'zi'zheng'xiong
君子之光,jun'zi'zhi'guang
君子终日乾乾,jun'zi'zhong'ri'qian'qian
开国承家,kai'guo'cheng'jia
坎不盈,kan'bu'ying
坎卦,kan'gua
坎有险,kan'you'xian
康侯用锡马蕃庶,kang'hou'yong'xi'ma'fan'shu
亢龙有悔,kang'long'you'hui
可小事,ke'xiao'shi
可用汲,ke'yong'ji
可贞,ke'zhen
苦节,ku'jie
苦节不可贞,ku'jie'bu'ke'zhen
枯杨生华,ku'yang'sheng'hua
枯杨生稊,ku'yang'sheng'ti
睽孤,kui'gu
睽卦,kui'gua
窥观,kui'guan
窥其户,kui'qi'hu
困卦,kun'gua
困蒙吝,kun'meng'lin
困于赤绂,kun'yu'chi'fu
困于葛藟,kun'yu'ge'lei
困于金车,kun'yu'jin'che
困于酒食,kun'yu'jiu'shi
困于石,kun'yu'shi
括囊无誉,kuo'nang'wu'yu
来兑,lai'dui
来徐徐,lai'xu'xu
来章,lai'zhang
来之坎坎,lai'zhi'kan'kan
老夫得其女妻,lao'fu'de'qi'nv'qi
老妇得其士夫,lao'fu'de'qi'shi'fu
劳谦君子,lao'qian'jun'zi
羸其角,lei'qi'jiao
羸其瓶,lei'qi'ping
羸豕孚蹢躅,lei'shi'fu'zhi'zhu
利出否,li'chu'fou
离卦,li'gua
厉吉,li'ji
厉吉贞吝,li'ji'zhen'lin
利见大人,li'jian'da'ren
利建侯,li'jian'hou
利建侯行师,li'jian'hou'xing'shi
利艰贞,li'jian'zhen
利居贞,li'ju'zhen
利女贞,li'nv'zhen
利涉大川,li'she'da'chuan
利武人之贞,li'wu'ren'zhi'zhen
利西南,li'xi'nan
利西南得朋,li'xi'nan'de'peng
立心勿恒,li'xin'wu'heng
厉熏心,li'xun'xin
利用宾于王,li'yong'bin'yu'wang
利用恒,li'yong'heng
利用祭祀,li'yong'ji'si
利用侵伐,li'yong'qin'fa
利用为大作,li'yong'wei'da'zuo
利用为依迁国,li'yong'wei'yi'qian'guo
利用享祀,li'yong'xiang'si
利用刑人,li'yong'xing'ren
利用行师,li'yong'xing'shi
利用狱,li'yong'yu
利永贞,li'yong'zhen
利幽人之贞,li'you'ren'zhi'zhen
利有攸往,li'you'you'wang
利于不息之贞,li'yu'bu'xi'zhi'zhen
利御寇,li'yu'kou
利贞,li'zhen
利执言,li'zhi'yan
良马逐,liang'ma'zhu
列其夤,lie'qi'yin
临卦,lin'gua
龙战于野,long'zhan'yu'ye
履错然,lv'cuo'ran
